"dataset","region","number_proteins","mean_length_region","total_length_region","mean_length_protein","total_length_protein","total_snv","region_snv","density"
"gnomad_common","surf",5570,271.722082585278,1513492,381.485457809695,2124874,15333,12151,1.11259713684969
"gnomad_common","interact",1683,30.7831253713607,51808,408.185383244207,686976,4360,403,1.22564104017091
"gnomad_common","core",5499,101.816148390616,559887,384.389343517003,2113757,15194,2789,0.692996541633946
"gnomad_rare","surf",10546,215.970415323345,2277624,303.584297363929,3201600,1299900,966409,1.04504757756476
"gnomad_rare","interact",3528,30.5875850340136,107913,323.325396825397,1140692,429003,38108,0.938967275993157
"gnomad_rare","core",10237,79.9778255348247,818733,310.470352642376,3178285,1289275,296291,0.892120339614422
"cosmic","surf",10717,216.502939255389,2320262,304.363068022768,3261859,665339,491179,1.03782700207682
"cosmic","interact",3561,30.6304408873912,109075,325.646447627071,1159627,245021,22205,0.963475257996451
"cosmic","core",10433,80.0632608070545,835300,310.453369117224,3238960,661286,152356,0.893374057405806
"clinvar","surf",1703,301.803875513799,513972,430.470933646506,733092,14503,8558,0.841653735147697
"clinvar","interact",677,35.3456425406204,23929,424.828655834564,287609,5838,768,1.58115720637582
"clinvar","core",1661,117.849488260084,195748,437.252859723058,726277,14205,5194,1.35664327006448
