"metric","dataset1","dataset2","adjusted pvalue (adjusted for comparisons within each metric, e.g. betweeness_centrality, using BH method) "
"betweenness_centrality","rare","common",9.7952918708038E-23
"betweenness_centrality","non_driver","common",6.93095928478585E-30
"betweenness_centrality","non_driver","rare",8.68447951275315E-18
"betweenness_centrality","driver","common",8.75324178005091E-76
"betweenness_centrality","driver","rare",2.19424163282081E-107
"betweenness_centrality","driver","non_driver",5.04612124495998E-74
"betweenness_centrality","clinvar","common",6.47848805603941E-238
"betweenness_centrality","clinvar","rare",6.44668138760349E-286
"betweenness_centrality","clinvar","non_driver",1.06020548502453E-256
"betweenness_centrality","clinvar","driver",6.29206550155436E-111
"closeness_centrality","rare","common",4.958885642672E-13
"closeness_centrality","non_driver","common",2.03405487314536E-08
"closeness_centrality","non_driver","rare",4.00874258711851E-14
"closeness_centrality","driver","common",1.05615427490708E-07
"closeness_centrality","driver","rare",0.085491210354
"closeness_centrality","driver","non_driver",0.337548643732535
"closeness_centrality","clinvar","common",1.2745196302066E-43
"closeness_centrality","clinvar","rare",3.05530991049344E-34
"closeness_centrality","clinvar","non_driver",2.23022961391689E-40
"closeness_centrality","clinvar","driver",7.79840119824413E-28
"degree","rare","common",1.12400056305337E-37
"degree","non_driver","common",1.13358521685842E-45
"degree","non_driver","rare",8.51450749411272E-13
"degree","driver","common",5.0710536650903E-45
"degree","driver","rare",3.58931383871582E-07
"degree","driver","non_driver",0.022905115455632
"degree","clinvar","common",0
"degree","clinvar","rare",0
"degree","clinvar","non_driver",0
"degree","clinvar","driver",8.22677475653778E-287
"degree_centrality","rare","common",1.8791212352465E-09
"degree_centrality","non_driver","common",1.01627614582484E-05
"degree_centrality","non_driver","rare",2.21902332389693E-15
"degree_centrality","driver","common",1.00089768819484E-30
"degree_centrality","driver","rare",4.33774845149099E-44
"degree_centrality","driver","non_driver",1.59065500378074E-60
"degree_centrality","clinvar","common",7.52898567687541E-14
"degree_centrality","clinvar","rare",4.75537164277933E-06
"degree_centrality","clinvar","non_driver",2.35837575725776E-09
"degree_centrality","clinvar","driver",0.052958791841919
