class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,URINE,529,18770,240030,172,1624
rare,URINE,1003,36525,358802,13002,141124
cosmic,URINE,1005,36644,362215,7326,76342
clinvar,URINE,261,10329,123365,358,2558
common,SALIVA,345,14065,155392,97,908
rare,SALIVA,743,30370,251999,10273,93750
cosmic,SALIVA,748,30524,254514,5695,47404
clinvar,SALIVA,184,8073,82585,283,1482
common,CELL_LINE,1613,50242,666707,377,4127
rare,CELL_LINE,3406,105243,1111966,36939,415347
cosmic,CELL_LINE,3439,106405,1130901,21445,235386
clinvar,CELL_LINE,655,23275,283018,736,5684
common,UTERUS,690,24837,308116,194,1823
rare,UTERUS,1554,56051,529390,18244,189798
cosmic,UTERUS,1562,56389,534717,10161,99189
clinvar,UTERUS,315,12993,141017,414,2807
common,TESTIS,1281,42599,569979,302,3342
rare,TESTIS,2746,89986,945314,30891,348214
cosmic,TESTIS,2777,91107,963487,17654,194374
clinvar,TESTIS,546,20611,250374,598,4626
common,SKIN,636,23011,271216,191,1723
rare,SKIN,1415,51327,467357,17075,169582
cosmic,SKIN,1425,51777,472616,9500,88212
clinvar,SKIN,300,12524,130802,402,2734
common,SALIVA,345,14065,155392,97,908
rare,SALIVA,743,30370,251999,10273,93750
cosmic,SALIVA,748,30524,254514,5695,47404
clinvar,SALIVA,184,8073,82585,283,1482
common,RECTUM,1013,34325,455389,259,2676
rare,RECTUM,2144,72809,751056,24773,275151
cosmic,RECTUM,2164,73635,764087,13835,149098
clinvar,RECTUM,432,16978,203800,504,3874
common,PROSTATE_GLAND,1104,37092,494636,278,2903
rare,PROSTATE_GLAND,2347,78545,811566,26774,298090
cosmic,PROSTATE_GLAND,2367,79423,825398,14936,159829
clinvar,PROSTATE_GLAND,470,18310,218408,551,4160
common,PLACENTA,867,30073,381623,238,2313
rare,PLACENTA,1839,64125,633610,21625,230361
cosmic,PLACENTA,1861,64994,646781,11917,120775
clinvar,PLACENTA,385,15478,175859,491,3393
common,PANCREAS,1124,37770,502654,269,2955
rare,PANCREAS,2393,80038,830822,27234,305956
cosmic,PANCREAS,2422,81006,846659,15412,167342
clinvar,PANCREAS,470,18415,219676,542,4222
common,FEMALE_GONAD,1265,42014,560296,301,3277
rare,FEMALE_GONAD,2692,88361,923237,30234,339435
cosmic,FEMALE_GONAD,2721,89447,940753,17209,188494
clinvar,FEMALE_GONAD,522,19728,238161,581,4540
common,LUNG,903,31044,405254,243,2484
rare,LUNG,1885,65414,655657,22370,243098
cosmic,LUNG,1906,66230,668419,12243,126592
clinvar,LUNG,395,15354,185996,480,3636
common,LIVER,1421,45566,614184,339,3704
rare,LIVER,2958,95024,1010119,32960,373965
cosmic,LIVER,2988,96085,1027245,18715,208061
clinvar,LIVER,585,21757,263383,668,5166
common,KIDNEY,936,32504,419815,257,2529
rare,KIDNEY,2019,69639,695524,23766,257028
cosmic,KIDNEY,2037,70416,707127,13303,137967
clinvar,KIDNEY,419,16906,197084,542,3930
common,HEART,1227,40728,544759,300,3179
rare,HEART,2605,85870,899998,29474,331192
cosmic,HEART,2636,87002,917722,17232,189415
clinvar,HEART,526,20146,243209,618,4798
common,GALL_BLADDER,934,31814,423501,229,2510
rare,GALL_BLADDER,1988,67550,694883,23012,255891
cosmic,GALL_BLADDER,2012,68466,708478,12808,138582
clinvar,GALL_BLADDER,417,16265,195413,499,3687
common,ESOPHAGUS,845,29689,376944,226,2279
rare,ESOPHAGUS,1803,63371,627750,21581,230955
cosmic,ESOPHAGUS,1824,64219,640430,11972,123776
clinvar,ESOPHAGUS,377,15447,177489,503,3395
common,COLON,987,33789,438260,253,2627
rare,COLON,2087,71141,724493,24326,265637
cosmic,COLON,2114,72096,738686,13526,144795
clinvar,COLON,435,16973,198821,513,3931
common,BRAIN,1046,34947,474433,247,2695
rare,BRAIN,2322,77101,810057,25574,291759
cosmic,BRAIN,2344,77995,824728,15351,169997
clinvar,BRAIN,473,18144,218377,566,4127
