class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,URINE,1291,425232,605245,3316,4272
rare,URINE,2169,564909,813025,245719,337591
cosmic,URINE,2207,574383,825926,122969,169671
clinvar,URINE,517,192982,277105,2996,5299
common,SALIVA,761,255755,369963,1767,2251
rare,SALIVA,1403,358053,525025,146562,204164
cosmic,SALIVA,1427,364214,533637,71555,100614
clinvar,SALIVA,311,120978,175368,1397,2550
common,CELL_LINE,5327,1469540,2062668,11591,14584
rare,CELL_LINE,10116,2210514,3108542,935984,1259165
cosmic,CELL_LINE,10319,2257882,3175001,472053,640047
clinvar,CELL_LINE,1650,503278,718024,8417,14264
common,UTERUS,1628,508544,731852,3538,4549
rare,UTERUS,3264,780219,1134786,315086,435297
cosmic,UTERUS,3334,794244,1154591,143396,200692
clinvar,UTERUS,668,219668,320792,3297,5871
common,TESTIS,3915,1175072,1660378,8650,10987
rare,TESTIS,7549,1759353,2495842,729184,987702
cosmic,TESTIS,7713,1798434,2550959,371099,505871
clinvar,TESTIS,1331,439158,628466,6762,11524
common,SKIN,1571,461882,666265,3370,4367
rare,SKIN,3072,706264,1028193,289915,401668
cosmic,SKIN,3138,719489,1047025,129939,182340
clinvar,SKIN,639,199505,292351,3298,5815
common,SALIVA,761,255755,369963,1767,2251
rare,SALIVA,1403,358053,525025,146562,204164
cosmic,SALIVA,1427,364214,533637,71555,100614
clinvar,SALIVA,311,120978,175368,1397,2550
common,RECTUM,2799,870489,1238918,6164,7898
rare,RECTUM,5321,1290328,1847613,529985,724290
cosmic,RECTUM,5429,1316162,1884211,263802,362820
clinvar,RECTUM,981,346013,499151,5143,8965
common,PROSTATE_GLAND,3020,942624,1339644,6766,8619
rare,PROSTATE_GLAND,5803,1403771,2005247,578607,788185
cosmic,PROSTATE_GLAND,5924,1432214,2045185,286274,392670
clinvar,PROSTATE_GLAND,1067,372530,536687,5441,9415
common,PLACENTA,2228,699336,998797,4943,6359
rare,PLACENTA,4296,1041455,1499076,425510,583308
cosmic,PLACENTA,4387,1063584,1530389,206093,285445
clinvar,PLACENTA,842,297482,429650,4239,7307
common,PANCREAS,3145,959433,1366047,6868,8775
rare,PANCREAS,6062,1441943,2062422,591896,807335
cosmic,PANCREAS,6188,1471875,2104534,293010,402765
clinvar,PANCREAS,1116,381015,548202,6235,10691
common,FEMALE_GONAD,3747,1124041,1589822,8131,10284
rare,FEMALE_GONAD,7239,1687639,2395850,696001,942831
cosmic,FEMALE_GONAD,7398,1723871,2446810,349734,477586
clinvar,FEMALE_GONAD,1264,416287,596732,6566,11163
common,LUNG,2456,776377,1109604,5591,7189
rare,LUNG,4535,1119229,1611319,461206,634466
cosmic,LUNG,4641,1145460,1648727,224132,310343
clinvar,LUNG,905,322072,464816,4654,8010
common,LIVER,4459,1302560,1834349,9895,12516
rare,LIVER,8356,1932663,2731101,809453,1093574
cosmic,LIVER,8535,1974685,2790176,411377,558977
clinvar,LIVER,1439,465453,665860,7543,12832
common,KIDNEY,2594,825698,1175787,5826,7459
rare,KIDNEY,4896,1205086,1729382,497104,681226
cosmic,KIDNEY,5004,1230694,1765692,246317,339845
clinvar,KIDNEY,966,339785,491023,5443,9444
common,HEART,3578,1094689,1542054,7856,9934
rare,HEART,6878,1638300,2318268,676348,913414
cosmic,HEART,7019,1669872,2362739,346199,471439
clinvar,HEART,1226,409730,587349,6169,10664
common,GALL_BLADDER,2593,809991,1154423,5893,7531
rare,GALL_BLADDER,4866,1189865,1707175,491768,672999
cosmic,GALL_BLADDER,4967,1214688,1742721,238297,328532
clinvar,GALL_BLADDER,954,331898,479548,5167,9009
common,ESOPHAGUS,2191,695897,993191,4932,6316
rare,ESOPHAGUS,4135,1019894,1468623,418476,574631
cosmic,ESOPHAGUS,4233,1043962,1502952,206357,284844
clinvar,ESOPHAGUS,818,292362,421552,4617,7906
common,COLON,2682,833668,1189641,6106,7768
rare,COLON,5115,1243489,1782565,510974,699319
cosmic,COLON,5239,1271015,1822037,252945,348732
clinvar,COLON,984,338838,489562,4973,8738
common,BRAIN,2908,915433,1296613,6190,7892
rare,BRAIN,5821,1407654,2004170,567305,767773
cosmic,BRAIN,5950,1438522,2048075,304515,415775
clinvar,BRAIN,1089,371814,532461,5627,9509
