"class","category","num_proteins","len_region","len_all","savs_region","savs_all","region"
"common","KIDNEY",2283,290893,1060916,1219,6546,"core"
"rare","KIDNEY",4335,424815,1584276,148833,620395,"core"
"cosmic","KIDNEY",4404,432839,1612168,72695,300953,"core"
"clinvar","KIDNEY",869,122654,438347,3188,8399,"core"
"common","LIVER",3630,414590,1545955,1839,9967,"core"
"rare","LIVER",6895,614796,2347842,216281,927417,"core"
"cosmic","LIVER",7011,626968,2391589,106622,451584,"core"
"clinvar","LIVER",1212,155910,568325,4111,10909,"core"
"common","LUNG",2133,272696,986738,1179,6184,"core"
"rare","LUNG",3997,395222,1464943,138267,572128,"core"
"cosmic","LUNG",4071,403526,1494357,66092,271605,"core"
"clinvar","LUNG",802,114810,409870,2587,6923,"core"
"common","FEMALE_GONAD",3138,370048,1375987,1527,8407,"core"
"rare","FEMALE_GONAD",6171,557070,2122639,191297,823955,"core"
"cosmic","FEMALE_GONAD",6275,567550,2160918,95777,406983,"core"
"clinvar","FEMALE_GONAD",1085,141228,514684,3599,9669,"core"
"common","PANCREAS",2747,333510,1220288,1413,7503,"core"
"rare","PANCREAS",5351,500000,1877551,172021,726779,"core"
"cosmic","PANCREAS",5438,508984,1910392,84511,353445,"core"
"clinvar","PANCREAS",999,133246,482682,3636,9654,"core"
"common","PROSTATE_GLAND",2670,330997,1215742,1401,7577,"core"
"rare","PROSTATE_GLAND",5162,490130,1847526,170117,721419,"core"
"cosmic","PROSTATE_GLAND",5247,498837,1879100,83495,351569,"core"
"clinvar","PROSTATE_GLAND",957,132497,478434,3114,8324,"core"
"common","TESTIS",3714,426262,1586502,1934,10394,"core"
"rare","TESTIS",7073,628688,2397257,221626,949677,"core"
"cosmic","TESTIS",7193,640846,2441495,113116,482052,"core"
"clinvar","TESTIS",1245,159663,584445,4058,10931,"core"
"common","UTERUS",1442,186267,674145,733,3985,"core"
"rare","UTERUS",2909,284551,1058186,95898,399535,"core"
"cosmic","UTERUS",2953,288519,1072232,44136,183353,"core"
"clinvar","UTERUS",595,83245,295826,2038,5320,"core"
