"class","category","num_proteins","len_region","len_all","savs_region","savs_all","region"
"common","KIDNEY",847,28586,392430,210,2242,"interact"
"rare","KIDNEY",1895,64675,661055,21286,240744,"interact"
"cosmic","KIDNEY",1912,65444,672492,12318,129450,"interact"
"clinvar","KIDNEY",389,15827,186987,510,3695,"interact"
"common","LIVER",1223,39122,553337,271,3134,"interact"
"rare","LIVER",2657,85879,924589,28793,336048,"interact"
"cosmic","LIVER",2683,86867,940013,16668,184480,"interact"
"clinvar","LIVER",518,19713,241651,609,4731,"interact"
"common","LUNG",804,27006,374934,197,2168,"interact"
"rare","LUNG",1759,60550,621015,19964,226282,"interact"
"cosmic","LUNG",1780,61368,633621,11264,117988,"interact"
"clinvar","LUNG",362,14248,174743,447,3329,"interact"
"common","FEMALE_GONAD",1110,36402,507801,239,2760,"interact"
"rare","FEMALE_GONAD",2482,81198,858650,26803,309055,"interact"
"cosmic","FEMALE_GONAD",2509,82269,875902,15710,171925,"interact"
"clinvar","FEMALE_GONAD",477,18247,219539,538,4178,"interact"
"common","PANCREAS",1011,33508,462075,216,2556,"interact"
"rare","PANCREAS",2231,74387,780485,24353,281814,"interact"
"cosmic","PANCREAS",2260,75355,796322,14263,154316,"interact"
"clinvar","PANCREAS",436,17274,203498,517,4040,"interact"
"common","PROSTATE_GLAND",1005,33061,463164,233,2572,"interact"
"rare","PROSTATE_GLAND",2204,73121,771629,24196,279007,"interact"
"cosmic","PROSTATE_GLAND",2224,73999,785461,13883,151036,"interact"
"clinvar","PROSTATE_GLAND",439,17151,207584,522,3931,"interact"
"common","TESTIS",1255,41725,561905,293,3259,"interact"
"rare","TESTIS",2701,88463,934320,30235,343552,"interact"
"cosmic","TESTIS",2732,89584,952493,17363,192179,"interact"
"clinvar","TESTIS",533,20299,245577,585,4541,"interact"
"common","UTERUS",615,21559,283268,154,1559,"interact"
"rare","UTERUS",1449,51695,498893,16152,175073,"interact"
"cosmic","UTERUS",1457,52033,504220,9358,92733,"interact"
"clinvar","UTERUS",288,11956,130522,394,2658,"interact"
