"class","category","num_proteins","len_region","len_all","savs_region","savs_all","region"
"common","KIDNEY",2318,747091,1066370,5181,6602,"surf"
"rare","KIDNEY",4482,1109267,1596430,456282,625665,"surf"
"cosmic","KIDNEY",4538,1128101,1623944,218387,303056,"surf"
"clinvar","KIDNEY",893,304820,442784,4964,8647,"surf"
"common","LIVER",3667,1097644,1551156,7918,10020,"surf"
"rare","LIVER",7099,1664118,2362413,689141,933448,"surf"
"cosmic","LIVER",7196,1694354,2405696,331191,454124,"surf"
"clinvar","LIVER",1237,397542,572648,6453,11158,"surf"
"common","LUNG",2167,692471,991994,4873,6242,"surf"
"rare","LUNG",4135,1022806,1476411,419641,577187,"surf"
"cosmic","LUNG",4194,1042769,1505368,196562,273589,"surf"
"clinvar","LUNG",823,285486,414027,4098,7117,"surf"
"common","FEMALE_GONAD",3170,974370,1380620,6697,8455,"surf"
"rare","FEMALE_GONAD",6360,1500263,2136090,612240,829552,"surf"
"cosmic","FEMALE_GONAD",6445,1526666,2173931,298172,409292,"surf"
"clinvar","FEMALE_GONAD",1111,359812,518770,5748,9870,"surf"
"common","PANCREAS",2783,858920,1225759,5937,7559,"surf"
"rare","PANCREAS",5532,1319076,1891237,536997,732663,"surf"
"cosmic","PANCREAS",5603,1341673,1923668,257419,355857,"surf"
"clinvar","PANCREAS",1027,337398,487401,5726,9864,"surf"
"common","PROSTATE_GLAND",2709,857553,1221371,6013,7638,"surf"
"rare","PROSTATE_GLAND",5341,1300347,1861188,533687,727210,"surf"
"cosmic","PROSTATE_GLAND",5407,1321947,1892255,256915,353925,"surf"
"clinvar","PROSTATE_GLAND",983,333946,483037,4907,8526,"surf"
"common","TESTIS",3765,1128357,1596031,8284,10501,"surf"
"rare","TESTIS",7293,1701665,2416249,707277,958272,"surf"
"cosmic","TESTIS",7392,1732238,2459988,355206,485298,"surf"
"clinvar","TESTIS",1280,411347,590752,6552,11178,"surf"
"common","UTERUS",1461,470061,677746,3134,4016,"surf"
"rare","UTERUS",3012,732267,1066853,291629,403200,"surf"
"cosmic","UTERUS",3044,741685,1080513,131596,184835,"surf"
"clinvar","UTERUS",614,204508,299292,3080,5499,"surf"
