class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,Bcells.replicate.1.half_life,1142,343703,499403,2051,2630
rare,Bcells.replicate.1.half_life,2588,591774,862577,224402,310812
cosmic,Bcells.replicate.1.half_life,2620,602409,877677,100787,143030
clinvar,Bcells.replicate.1.half_life,511,156750,231670,2179,3877
common,Bcells.replicate.2.half_life,1316,393533,573561,2413,3084
rare,Bcells.replicate.2.half_life,2864,660173,964648,254037,352953
cosmic,Bcells.replicate.2.half_life,2904,672723,982471,115106,162932
clinvar,Bcells.replicate.2.half_life,580,178047,263822,2462,4383
common,NK.cells.replicate.1.half_life,1184,357338,520987,2225,2856
rare,NK.cells.replicate.1.half_life,2523,586778,858453,226725,315400
cosmic,NK.cells.replicate.1.half_life,2551,596296,872145,101675,144376
clinvar,NK.cells.replicate.1.half_life,506,158004,233519,2241,4101
common,NK.cells.replicate.2.half_life,1234,365644,533398,2288,2940
rare,NK.cells.replicate.2.half_life,2688,615275,899403,236346,328678
cosmic,NK.cells.replicate.2.half_life,2724,626689,915599,106568,151248
clinvar,NK.cells.replicate.2.half_life,523,161430,239134,2388,4329
common,NK.cells.replicate.1.half_life,1184,357338,520987,2225,2856
rare,NK.cells.replicate.1.half_life,2523,586778,858453,226725,315400
cosmic,NK.cells.replicate.1.half_life,2551,596296,872145,101675,144376
clinvar,NK.cells.replicate.1.half_life,506,158004,233519,2241,4101
common,Hepatocytes.replicate.1.half_life,1585,483266,701925,3301,4257
rare,Hepatocytes.replicate.1.half_life,3104,738375,1077642,301450,420679
cosmic,Hepatocytes.replicate.1.half_life,3156,753707,1099468,130709,184521
clinvar,Hepatocytes.replicate.1.half_life,721,228893,336138,3992,7084
common,Hepatocytes.replicate.2.half_life,1604,490452,712875,3367,4321
rare,Hepatocytes.replicate.2.half_life,3159,753674,1099328,308189,429488
cosmic,Hepatocytes.replicate.2.half_life,3207,769569,1122032,134969,190018
clinvar,Hepatocytes.replicate.2.half_life,731,233761,343140,3852,6832
common,Monocytes.replicate.1.half_life,1401,422584,614594,2654,3393
rare,Monocytes.replicate.1.half_life,2947,692339,1011556,268550,373028
cosmic,Monocytes.replicate.1.half_life,2978,703595,1028002,120315,170558
clinvar,Monocytes.replicate.1.half_life,590,181652,267618,2711,4799
common,Monocytes.replicate.2.half_life,1342,405642,590343,2589,3293
rare,Monocytes.replicate.2.half_life,2884,673037,983501,261929,363704
cosmic,Monocytes.replicate.2.half_life,2912,683715,998749,118354,168116
clinvar,Monocytes.replicate.2.half_life,570,176612,260979,2453,4373
