class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,URINE,1255,161408,596465,788,4176
rare,URINE,2089,212615,801204,79222,331570
cosmic,URINE,2131,215977,814238,39558,167561
clinvar,URINE,495,74210,271696,1958,5097
common,SALIVA,730,100357,362264,393,2166
rare,SALIVA,1333,137745,514475,47708,198880
cosmic,SALIVA,1361,140118,523226,23571,98636
clinvar,SALIVA,290,46698,170493,882,2355
common,CELL_LINE,5263,543159,2051954,2625,14452
rare,CELL_LINE,9829,795335,3086051,287087,1248988
cosmic,CELL_LINE,10050,813372,3152688,146929,636133
clinvar,CELL_LINE,1611,191988,711404,5126,13984
common,UTERUS,1595,198685,724378,823,4465
rare,UTERUS,3144,300249,1122026,102494,429325
cosmic,UTERUS,3224,305755,1142093,47400,198469
clinvar,UTERUS,643,88548,315804,2173,5672
common,TESTIS,3863,443020,1650551,2045,10873
rare,TESTIS,7324,649070,2476337,228493,978850
cosmic,TESTIS,7502,664098,2531548,117505,502467
clinvar,TESTIS,1295,169254,622123,4181,11275
common,SKIN,1535,181624,658543,814,4277
rare,SKIN,2964,272173,1016110,95220,395890
cosmic,SKIN,3037,277479,1035069,43159,180137
clinvar,SKIN,619,80834,287706,2129,5622
common,SALIVA,730,100357,362264,393,2166
rare,SALIVA,1333,137745,514475,47708,198880
cosmic,SALIVA,1361,140118,523226,23571,98636
clinvar,SALIVA,290,46698,170493,882,2355
common,RECTUM,2750,334377,1229659,1484,7785
rare,RECTUM,5149,486653,1831160,170258,716585
cosmic,RECTUM,5268,496704,1867870,85528,359858
clinvar,RECTUM,951,136677,493178,3333,8753
common,PROSTATE_GLAND,2966,360241,1330063,1585,8500
rare,PROSTATE_GLAND,5602,525414,1987231,183642,779854
cosmic,PROSTATE_GLAND,5738,536149,2027434,91838,389491
clinvar,PROSTATE_GLAND,1034,146404,530531,3440,9197
common,PLACENTA,2179,269680,989057,1187,6248
rare,PLACENTA,4133,395578,1482712,136870,575590
cosmic,PLACENTA,4236,404052,1514225,67773,282613
clinvar,PLACENTA,813,117247,423672,2594,7073
common,PANCREAS,3094,369096,1356438,1646,8662
rare,PANCREAS,5859,542740,2044238,188961,798778
cosmic,PANCREAS,5997,554070,2086446,94689,399514
clinvar,PANCREAS,1082,149289,541964,3929,10467
common,FEMALE_GONAD,3696,424040,1580336,1861,10169
rare,FEMALE_GONAD,7022,622364,2376982,217432,934184
cosmic,FEMALE_GONAD,7197,636119,2428143,111020,474315
clinvar,FEMALE_GONAD,1230,161234,590536,4031,10939
common,LUNG,2405,302435,1099884,1363,7074
rare,LUNG,4375,428926,1595040,151628,626640
cosmic,LUNG,4492,439405,1632663,74307,307500
clinvar,LUNG,877,127907,458843,2891,7800
common,LIVER,4398,486536,1823747,2292,12389
rare,LIVER,8111,705907,2710441,252003,1084139
cosmic,LIVER,8304,722012,2769589,129260,555337
clinvar,LIVER,1404,179207,659371,4638,12557
common,KIDNEY,2542,317858,1165755,1385,7342
rare,KIDNEY,4725,457057,1712289,161140,673102
cosmic,KIDNEY,4842,467095,1748663,80579,336822
clinvar,KIDNEY,935,134849,484770,3474,9179
common,HEART,3522,406910,1531750,1787,9814
rare,HEART,6668,596568,2299168,208416,904620
cosmic,HEART,6824,608448,2343853,108379,468124
clinvar,HEART,1189,157990,580804,3892,10382
common,GALL_BLADDER,2546,312870,1145125,1417,7421
rare,GALL_BLADDER,4699,451827,1690542,158900,665164
cosmic,GALL_BLADDER,4811,461752,1726210,77743,325597
clinvar,GALL_BLADDER,923,131902,473395,3358,8767
common,ESOPHAGUS,2144,267819,983537,1164,6207
rare,ESOPHAGUS,3979,387332,1452274,135184,566805
cosmic,ESOPHAGUS,4088,396894,1486758,66815,281893
clinvar,ESOPHAGUS,786,114255,415144,2800,7635
common,COLON,2633,322436,1180202,1417,7657
rare,COLON,4940,470305,1765614,164805,691350
cosmic,COLON,5075,481414,1805236,82621,345713
clinvar,COLON,954,134268,483572,3267,8520
common,BRAIN,2858,346506,1286947,1464,7780
rare,BRAIN,5625,521789,1986248,175663,759499
cosmic,BRAIN,5767,534050,2030277,96270,412618
clinvar,BRAIN,1056,143020,526213,3331,9269
