"class","category","num_proteins","total size (amino acids)","total SAVs"
"common","URINE",2693,1533001,9413
"rare","URINE",2693,1533001,648891
"cosmic","URINE",2693,1533001,306816
"clinvar","URINE",2693,1533001,6983
"common","SALIVA",1728,1014653,5605
"rare","SALIVA",1728,1014653,405550
"cosmic","SALIVA",1728,1014653,188572
"clinvar","SALIVA",1728,1014653,3444
"common","CELL_LINE",15685,8996276,51250
"rare","CELL_LINE",15685,8996276,3662652
"cosmic","CELL_LINE",15685,8996276,1658048
"clinvar","CELL_LINE",15685,8996276,20690
"common","UTERUS",4219,2401624,10696
"rare","UTERUS",4219,2401624,926369
"cosmic","UTERUS",4219,2401624,397189
"clinvar","UTERUS",4219,2401624,7898
"common","TESTIS",11229,7066193,36968
"rare","TESTIS",11229,7066193,2816383
"cosmic","TESTIS",11229,7066193,1293258
"clinvar","TESTIS",11229,7066193,16823
"common","SKIN",3979,2167250,10450
"rare","SKIN",3979,2167250,856464
"cosmic","SKIN",3979,2167250,367205
"clinvar","SKIN",3979,2167250,7706
"common","SALIVA",1728,1014653,5605
"rare","SALIVA",1728,1014653,405550
"cosmic","SALIVA",1728,1014653,188572
"clinvar","SALIVA",1728,1014653,3444
"common","RECTUM",7434,4788138,24291
"rare","RECTUM",7434,4788138,1895201
"cosmic","RECTUM",7434,4788138,870598
"clinvar","RECTUM",7434,4788138,12536
"common","PROSTATE_GLAND",8226,5272034,26563
"rare","PROSTATE_GLAND",8226,5272034,2097113
"cosmic","PROSTATE_GLAND",8226,5272034,954046
"clinvar","PROSTATE_GLAND",8226,5272034,13445
"common","PLACENTA",5925,3692674,17819
"rare","PLACENTA",5925,3692674,1451688
"cosmic","PLACENTA",5925,3692674,665365
"clinvar","PLACENTA",5925,3692674,10500
"common","PANCREAS",8642,5567917,27890
"rare","PANCREAS",8642,5567917,2198711
"cosmic","PANCREAS",8642,5567917,998697
"clinvar","PANCREAS",8642,5567917,14992
"common","FEMALE_GONAD",10664,6730151,34481
"rare","FEMALE_GONAD",10664,6730151,2671466
"cosmic","FEMALE_GONAD",10664,6730151,1220337
"clinvar","FEMALE_GONAD",10664,6730151,16172
"common","LUNG",6238,3953353,20275
"rare","LUNG",6238,3953353,1560775
"cosmic","LUNG",6238,3953353,713369
"clinvar","LUNG",6238,3953353,11302
"common","LIVER",12460,7794332,42559
"rare","LIVER",12460,7794332,3130298
"cosmic","LIVER",12460,7794332,1435415
"clinvar","LIVER",12460,7794332,18639
"common","KIDNEY",6862,4330297,22050
"rare","KIDNEY",6862,4330297,1716331
"cosmic","KIDNEY",6862,4330297,789274
"clinvar","KIDNEY",6862,4330297,13103
"common","HEART",10010,6462375,33216
"rare","HEART",10010,6462375,2573933
"cosmic","HEART",10010,6462375,1191936
"clinvar","HEART",10010,6462375,15540
"common","GALL_BLADDER",6681,4264178,21873
"rare","GALL_BLADDER",6681,4264178,1689610
"cosmic","GALL_BLADDER",6681,4264178,762742
"clinvar","GALL_BLADDER",6681,4264178,12482
"common","ESOPHAGUS",5613,3469703,16848
"rare","ESOPHAGUS",5613,3469703,1353597
"cosmic","ESOPHAGUS",5613,3469703,624800
"clinvar","ESOPHAGUS",5613,3469703,10841
"common","COLON",7166,4543410,22878
"rare","COLON",7166,4543410,1794526
"cosmic","COLON",7166,4543410,824054
"clinvar","COLON",7166,4543410,12520
"common","BRAIN",8366,5567244,26472
"rare","BRAIN",8366,5567244,2172215
"cosmic","BRAIN",8366,5567244,1037540
"clinvar","BRAIN",8366,5567244,14038
