"class","category","num_proteins","len_all","savs_all"
"common","KIDNEY",6186,3998575,19299
"rare","KIDNEY",6186,3998575,1582674
"cosmic","KIDNEY",6186,3998575,706341
"clinvar","KIDNEY",6186,3998575,11962
"common","LIVER",10365,6703626,33521
"rare","LIVER",10365,6703626,2675705
"cosmic","LIVER",10365,6703626,1171593
"clinvar","LIVER",10365,6703626,16177
"common","LUNG",5624,3632093,17701
"rare","LUNG",5624,3632093,1430224
"cosmic","LUNG",5624,3632093,637943
"clinvar","LUNG",5624,3632093,10063
"common","FEMALE_GONAD",9263,6025217,28893
"rare","FEMALE_GONAD",9263,6025217,2386383
"cosmic","FEMALE_GONAD",9263,6025217,1058887
"clinvar","FEMALE_GONAD",9263,6025217,14349
"common","PANCREAS",7796,5103099,23887
"rare","PANCREAS",7796,5103099,2005235
"cosmic","PANCREAS",7796,5103099,884220
"clinvar","PANCREAS",7796,5103099,13782
"common","PROSTATE_GLAND",7472,4896731,23565
"rare","PROSTATE_GLAND",7472,4896731,1945648
"cosmic","PROSTATE_GLAND",7472,4896731,867635
"clinvar","PROSTATE_GLAND",7472,4896731,12210
"common","TESTIS",10657,6832494,35359
"rare","TESTIS",10657,6832494,2736137
"cosmic","TESTIS",10657,6832494,1247154
"clinvar","TESTIS",10657,6832494,16308
"common","UTERUS",3864,2251040,9563
"rare","UTERUS",3864,2251040,865117
"cosmic","UTERUS",3864,2251040,368441
"clinvar","UTERUS",3864,2251040,7366
