"expression","abundance","rho","pval","qval"
"Kidney","KIDNEY_abundance",0.563928110011415,0,0
"Liver","KIDNEY_abundance",0.537746571238126,0,0
"Lung","KIDNEY_abundance",0.439894540747733,4.84782448123035e-277,7.38716111425578e-277
"Ovary","KIDNEY_abundance",0.394074562676013,4.45819227306863e-215,5.70648610952785e-215
"Pancreas","KIDNEY_abundance",0.459413660492149,4.0555522903729e-300,6.83040385747015e-300
"Prostate","KIDNEY_abundance",0.4565739653059,8.87330690619145e-296,1.41972910499063e-295
"Testis","KIDNEY_abundance",0.319359311078227,3.14841534715385e-137,3.3032554461942e-137
"Uterus","KIDNEY_abundance",0.409392287759615,3.66242383949755e-232,5.09554621147485e-232
"Kidney","LIVER_abundance",0.377137891606996,0,0
"Liver","LIVER_abundance",0.435226058064396,0,0
"Lung","LIVER_abundance",0.351010664756253,1.09092212452355e-290,1.70290282852457e-290
"Ovary","LIVER_abundance",0.306319576626332,4.79170226302772e-215,6.01311656536812e-215
"Pancreas","LIVER_abundance",0.357577216827548,5.29924090021172e-296,8.69619019521924e-296
"Prostate","LIVER_abundance",0.34308045736776,5.37336902507723e-271,7.81580949102143e-271
"Testis","LIVER_abundance",0.252671236133701,1.01738153836069e-143,1.0852069742514e-143
"Uterus","LIVER_abundance",0.315480070737099,8.80124753483047e-227,1.19846774942372e-226
"Kidney","LUNG_abundance",0.511603555414648,0,0
"Liver","LUNG_abundance",0.555037571276106,0,0
"Lung","LUNG_abundance",0.479760637351961,2.34166376288609e-310,4.05044542769484e-310
"Ovary","LUNG_abundance",0.391722623187477,2.26083076786609e-195,2.73005979515905e-195
"Pancreas","LUNG_abundance",0.451617748092772,1.05062931133906e-265,1.49422835390445e-265
"Prostate","LUNG_abundance",0.455897787432864,3.73677502812313e-271,5.56171166976466e-271
"Testis","LUNG_abundance",0.30559023919783,2.79739121949081e-115,2.84179425472082e-115
"Uterus","LUNG_abundance",0.411544865566796,4.95371086575776e-216,6.60494782101035e-216
"Kidney","FEMALE_GONAD_abundance",0.54442720995996,0,0
"Liver","FEMALE_GONAD_abundance",0.525975585325523,0,0
"Lung","FEMALE_GONAD_abundance",0.517025151643486,0,0
"Ovary","FEMALE_GONAD_abundance",0.532443313986603,0,0
"Pancreas","FEMALE_GONAD_abundance",0.506976159498419,0,0
"Prostate","FEMALE_GONAD_abundance",0.518935173301254,0,0
"Testis","FEMALE_GONAD_abundance",0.444689967201901,0,0
"Uterus","FEMALE_GONAD_abundance",0.523132252445717,0,0
"Kidney","PANCREAS_abundance",0.531929107353346,0,0
"Liver","PANCREAS_abundance",0.521592088383942,0,0
"Lung","PANCREAS_abundance",0.505450184250018,0,0
"Ovary","PANCREAS_abundance",0.442479960898633,0,0
"Pancreas","PANCREAS_abundance",0.519606809724169,0,0
"Prostate","PANCREAS_abundance",0.497100089629916,0,0
"Testis","PANCREAS_abundance",0.352006400108944,1.77630208586124e-215,2.32006803051264e-215
"Uterus","PANCREAS_abundance",0.462244586003363,0,0
"Kidney","PROSTATE_GLAND_abundance",0.515480991122917,0,0
"Liver","PROSTATE_GLAND_abundance",0.482640532655381,0,0
"Lung","PROSTATE_GLAND_abundance",0.493251452590564,0,0
"Ovary","PROSTATE_GLAND_abundance",0.441634878575382,0,0
"Pancreas","PROSTATE_GLAND_abundance",0.45868679934302,0,0
"Prostate","PROSTATE_GLAND_abundance",0.510174036264161,0,0
"Testis","PROSTATE_GLAND_abundance",0.34106000244918,1.10971557848543e-190,1.29130540041941e-190
"Uterus","PROSTATE_GLAND_abundance",0.481796414949331,0,0
"Kidney","TESTIS_abundance",0.553513835316222,0,0
"Liver","TESTIS_abundance",0.520230661312858,0,0
"Lung","TESTIS_abundance",0.509417839271179,0,0
"Ovary","TESTIS_abundance",0.519543240460976,0,0
"Pancreas","TESTIS_abundance",0.520128435709325,0,0
"Prostate","TESTIS_abundance",0.517634305341875,0,0
"Testis","TESTIS_abundance",0.476283434096683,0,0
"Uterus","TESTIS_abundance",0.517539042745082,0,0
"Kidney","UTERUS_abundance",0.445962418725405,1.25357679441085e-189,1.4326591936124e-189
"Liver","UTERUS_abundance",0.416371694124041,1.39897283274132e-160,1.54369416026629e-160
"Lung","UTERUS_abundance",0.457200210632956,3.51207685679984e-196,4.32255613144596e-196
"Ovary","UTERUS_abundance",0.410736326997386,3.59510351415398e-154,3.89977330348906e-154
"Pancreas","UTERUS_abundance",0.379981758095472,4.03299649092765e-130,4.16309315192532e-130
"Prostate","UTERUS_abundance",0.441958001968899,2.11056608360957e-180,2.36975840966688e-180
"Testis","UTERUS_abundance",0.316637359517061,1.01969204716534e-88,1.01969204716534e-88
"Uterus","UTERUS_abundance",0.453504585072207,8.16920712959556e-191,9.68202326470585e-191
