"expression","tm","rho","pval","qval"
"Kidney","pabinostat_1",0.201851315630425,7.30531931614365e-31,3.33957454452281e-30
"Kidney","pabinostat_2",0.225386220183749,3.57761474440387e-39,3.81612239403079e-38
"Kidney","vehicle_1",0.224932565195964,6.23063640758272e-42,1.99380365042647e-40
"Kidney","vehicle_2",0.220018559878722,4.50018084725377e-37,2.88011574224241e-36
"Liver","pabinostat_1",0.195618506802355,7.13033307405308e-29,2.85213322962123e-28
"Liver","pabinostat_2",0.226444268728397,2.85887713501006e-39,3.81612239403079e-38
"Liver","vehicle_1",0.215856212322566,2.14562848098594e-38,1.71650278478875e-37
"Liver","vehicle_2",0.212526311654028,1.988546896072e-34,1.06055834457174e-33
"Lung","pabinostat_1",0.126236027341852,7.42530064952288e-13,1.03308530775971e-12
"Lung","pabinostat_2",0.131387200714073,3.87922757114903e-14,6.20676411383845e-14
"Lung","vehicle_1",0.147265776715368,1.24366938066273e-18,2.84267287008623e-18
"Lung","vehicle_2",0.130668543962449,6.70993595957859e-14,1.02246643193579e-13
"Ovary","pabinostat_1",0.115111941903886,6.44942361180754e-11,7.37076984206576e-11
"Ovary","pabinostat_2",0.121645510821404,2.7052385088389e-12,3.46270529131379e-12
"Ovary","vehicle_1",0.140376508363991,4.9296006637088e-17,8.30248532835166e-17
"Ovary","vehicle_2",0.119695228651193,7.28259411031902e-12,8.63122264926698e-12
"Pancreas","pabinostat_1",0.151754199109487,6.67278149083775e-18,1.27091887803295e-17
"Pancreas","pabinostat_2",0.166891805447727,7.0323183712354e-22,2.04576534435939e-21
"Pancreas","vehicle_1",0.174771448408194,1.4144049622343e-25,5.02899542127752e-25
"Pancreas","vehicle_2",0.156807097838927,2.43619844387392e-19,5.99679616953579e-19
"Prostate","pabinostat_1",0.14889460876737,2.30520832444477e-17,4.09814813234626e-17
"Prostate","pabinostat_2",0.158088386353199,7.3965224248088e-20,1.97240597994901e-19
"Prostate","vehicle_1",0.169089321755157,3.61964892188776e-24,1.15828765500408e-23
"Prostate","vehicle_2",0.150088591146719,6.75175653955003e-18,1.27091887803295e-17
"Testis","pabinostat_1",0.0591672749717409,0.000770271154896324,0.000770271154896324
"Testis","pabinostat_2",0.0637253461421252,0.000244384070370772,0.000252267427479506
"Testis","vehicle_1",0.0973568844087842,5.44657740538358e-09,6.01001644731981e-09
"Testis","vehicle_2",0.0670492836208121,0.000120452200714425,0.00012848234742872
"Uterus","pabinostat_1",0.121519995718073,5.26746457211844e-12,6.48303331953039e-12
"Uterus","pabinostat_2",0.122896979989879,1.6218586472222e-12,2.16247819629627e-12
"Uterus","vehicle_1",0.145241462566,3.84215091251029e-18,8.19658861335528e-18
"Uterus","vehicle_2",0.126424446352709,4.47860216301698e-13,6.5143304189338e-13
