class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,Bcells.replicate.1.half_life,1129,139081,497894,499,2615
rare,Bcells.replicate.1.half_life,2493,231263,856804,74122,308513
cosmic,Bcells.replicate.1.half_life,2535,235345,872103,35131,142004
clinvar,Bcells.replicate.1.half_life,501,65070,230222,1399,3843
common,Bcells.replicate.2.half_life,1302,161236,571730,578,3068
rare,Bcells.replicate.2.half_life,2762,260767,957606,84989,350122
cosmic,Bcells.replicate.2.half_life,2812,265601,975652,40138,161659
clinvar,Bcells.replicate.2.half_life,566,74431,261314,1622,4306
common,NK.cells.replicate.1.half_life,1172,146281,519268,551,2842
rare,NK.cells.replicate.1.half_life,2427,231740,851720,76224,312822
cosmic,NK.cells.replicate.1.half_life,2466,235555,865669,35543,143172
clinvar,NK.cells.replicate.1.half_life,492,65698,231011,1570,4024
common,NK.cells.replicate.2.half_life,1222,149930,531943,565,2926
rare,NK.cells.replicate.2.half_life,2593,242864,892992,79398,326233
cosmic,NK.cells.replicate.2.half_life,2641,247305,909454,37477,150092
clinvar,NK.cells.replicate.2.half_life,509,67816,237021,1688,4263
common,NK.cells.replicate.1.half_life,1172,146281,519268,551,2842
rare,NK.cells.replicate.1.half_life,2427,231740,851720,76224,312822
cosmic,NK.cells.replicate.1.half_life,2466,235555,865669,35543,143172
clinvar,NK.cells.replicate.1.half_life,492,65698,231011,1570,4024
common,Hepatocytes.replicate.1.half_life,1561,198844,697578,845,4213
rare,Hepatocytes.replicate.1.half_life,2999,296264,1068767,105157,416619
cosmic,Hepatocytes.replicate.1.half_life,3061,302294,1090797,46270,182871
clinvar,Hepatocytes.replicate.1.half_life,706,95811,333189,2760,6904
common,Hepatocytes.replicate.2.half_life,1581,202321,709221,845,4284
rare,Hepatocytes.replicate.2.half_life,3054,301919,1091353,107098,425907
cosmic,Hepatocytes.replicate.2.half_life,3112,308296,1114261,47448,188567
clinvar,Hepatocytes.replicate.2.half_life,718,97987,340793,2677,6769
common,Monocytes.replicate.1.half_life,1387,172307,612771,649,3377
rare,Monocytes.replicate.1.half_life,2856,274813,1005515,90499,370573
cosmic,Monocytes.replicate.1.half_life,2899,279527,1022208,42159,169427
clinvar,Monocytes.replicate.1.half_life,575,75829,265369,1788,4745
common,Monocytes.replicate.2.half_life,1325,166268,588145,614,3273
rare,Monocytes.replicate.2.half_life,2789,267145,976892,88201,360961
cosmic,Monocytes.replicate.2.half_life,2828,271359,992359,41919,166891
clinvar,Monocytes.replicate.2.half_life,555,74136,258730,1651,4319
