class,category,num_proteins,len_region,len_all,savs_region,savs_all
common,Bcells.replicate.1.half_life,490,16709,215478,84,1025
rare,Bcells.replicate.1.half_life,1199,41340,399697,12869,135082
cosmic,Bcells.replicate.1.half_life,1210,41641,406430,7383,70005
clinvar,Bcells.replicate.1.half_life,228,10084,102078,308,1809
common,Bcells.replicate.2.half_life,551,18992,241448,101,1222
rare,Bcells.replicate.2.half_life,1312,45835,442008,14594,151902
cosmic,Bcells.replicate.2.half_life,1326,46232,449352,8010,77495
clinvar,Bcells.replicate.2.half_life,263,11660,118111,311,2076
common,NK.cells.replicate.1.half_life,499,17511,225746,85,1116
rare,NK.cells.replicate.1.half_life,1173,41686,402569,13011,137542
cosmic,NK.cells.replicate.1.half_life,1182,42003,408389,7425,71037
clinvar,NK.cells.replicate.1.half_life,232,10051,105807,299,1968
common,NK.cells.replicate.2.half_life,523,17988,230292,93,1156
rare,NK.cells.replicate.2.half_life,1231,42947,419394,13501,142644
cosmic,NK.cells.replicate.2.half_life,1244,43251,426270,7479,73676
clinvar,NK.cells.replicate.2.half_life,236,10122,108623,262,1963
common,NK.cells.replicate.1.half_life,499,17511,225746,85,1116
rare,NK.cells.replicate.1.half_life,1173,41686,402569,13011,137542
cosmic,NK.cells.replicate.1.half_life,1182,42003,408389,7425,71037
clinvar,NK.cells.replicate.1.half_life,232,10051,105807,299,1968
common,Hepatocytes.replicate.1.half_life,588,20015,267551,119,1417
rare,Hepatocytes.replicate.1.half_life,1298,45185,447105,14784,161123
cosmic,Hepatocytes.replicate.1.half_life,1311,45566,454977,7864,78891
clinvar,Hepatocytes.replicate.1.half_life,290,11755,132280,345,2417
common,Hepatocytes.replicate.2.half_life,593,20302,268621,117,1422
rare,Hepatocytes.replicate.2.half_life,1323,45932,454369,14931,162869
cosmic,Hepatocytes.replicate.2.half_life,1335,46281,463712,7916,80077
clinvar,Hepatocytes.replicate.2.half_life,293,11631,133689,313,2260
common,Monocytes.replicate.1.half_life,580,19808,259636,93,1282
rare,Monocytes.replicate.1.half_life,1328,46175,460972,14549,159254
cosmic,Monocytes.replicate.1.half_life,1340,46569,468335,8315,82024
clinvar,Monocytes.replicate.1.half_life,251,10359,112971,306,2014
common,Monocytes.replicate.2.half_life,550,18485,245918,92,1217
rare,Monocytes.replicate.2.half_life,1304,44985,447374,14074,153847
cosmic,Monocytes.replicate.2.half_life,1313,45285,453762,8109,80053
clinvar,Monocytes.replicate.2.half_life,247,10547,112520,281,1875
