"half_life","abundance","rho","pval","qval"
"Bcells.replicate.1.half_life","KIDNEY_abundance",0.440255659271724,1.00672533934145e-129,5.536989366378e-129
"Bcells.replicate.2.half_life","KIDNEY_abundance",0.482373259874882,1.71559871046713e-144,1.37247896837371e-143
"NK.cells.replicate.1.half_life","KIDNEY_abundance",0.46809602741605,1.10302928685903e-117,3.59505841642942e-117
"NK.cells.replicate.2.half_life","KIDNEY_abundance",0.518956671510624,1.13578574334707e-144,9.99491454145419e-144
"NK.cells.replicate.1.half_life","KIDNEY_abundance",0.477528366556514,1.11247388532417e-119,3.91590807634106e-119
"Hepatocytes.replicate.1.half_life","KIDNEY_abundance",0.329840533288131,1.33569249338656e-48,1.5265057067275e-48
"Hepatocytes.replicate.2.half_life","KIDNEY_abundance",0.349580342161015,1.17917504933777e-53,1.4022622208341e-53
"Monocytes.replicate.1.half_life","KIDNEY_abundance",0.423662657749413,5.53616916492316e-78,9.0219053058007e-78
"Monocytes.replicate.2.half_life","KIDNEY_abundance",0.457692333585459,2.94030926008319e-90,6.0173770904028e-90
"Mouse.Neurons..replicate.3.half_life","KIDNEY_abundance",0.487187739890173,1.17697544278709e-91,2.52619119427473e-91
"Mouse.Neurons..replicate.4.half_life","KIDNEY_abundance",0.513416768415348,1.38127020992318e-102,3.19873101245367e-102
"Bcells.replicate.1.half_life","LIVER_abundance",0.394168071298453,1.35300726061674e-126,6.61470216301518e-126
"Bcells.replicate.2.half_life","LIVER_abundance",0.452232582205387,3.59328059313575e-151,3.95260865244933e-150
"NK.cells.replicate.1.half_life","LIVER_abundance",0.433981755867148,3.99292431571639e-116,1.24996028733593e-115
"NK.cells.replicate.2.half_life","LIVER_abundance",0.503977216637377,2.3934263788246e-157,3.51035868894275e-156
"NK.cells.replicate.1.half_life","LIVER_abundance",0.444734236633012,7.72113076261109e-119,2.61330579657606e-118
"Hepatocytes.replicate.1.half_life","LIVER_abundance",0.362707669636336,8.42808392017202e-65,1.1069722163808e-64
"Hepatocytes.replicate.2.half_life","LIVER_abundance",0.38795935481554,5.14983473175619e-73,7.55309093990907e-73
"Monocytes.replicate.1.half_life","LIVER_abundance",0.431950541677374,9.68186798013589e-89,1.81277528138714e-88
