"feature","r","pval"
"hbonds_value",0.996513492647769,0.053176123588446
"hbonds_abs_value",0.841500488418351,0.363345463056527
"hbonds_pos_value",0.995978296911278,0.057114421314392
"hbonds_pos_abs_value",0.987791726826423,0.099578381791837
"L_avg_value",0.898801527941817,0.288878023563896
"L_avg_abs_value",0.995480182909026,0.060550713381006
"BC_avg_value",0.898801527941986,0.288878023563651
"BC_avg_abs_value",0.993664605324243,0.071698737879168
"L_std_dev_value",0.998799874522433,0.031192622699996
"L_std_dev_abs_value",0.999709894097653,0.0153350043339
"BC_std_dev_value",0.994505569634998,0.066766023086712
"BC_std_dev_abs_value",0.989498220620766,0.092343721309713
"delta_L_avg_value",0.98241773673878,0.119555867351868
"delta_L_avg_abs_value",0.998868425265322,0.030288495638002
"delta_BC_avg_value",0.995040547016196,0.063429554560557
"delta_BC_avg_abs_value",0.992788061392063,0.076503708133108
